id,text,political,racial/ethnic,religious,gender/sexual,other
hau_ccd8f38c765e88d99f6856e9447f23e3,"@USER they could have partnered to better the citizenry. almajiri, toxic work environment (due to predatory foreigners), investment, security, etc. but their egos and pockets..",1,0,0,0,0
hau_40779fb9e2e5aa665a335ea60a3ada60,"sabuwar karin magana!",0,0,0,0,0
hau_bf7335a59e760948863220d11c48d630,@USER you are an undiluted idiot. brainwashed almajiri with no hope of redemption.,0,0,0,0,1
hau_87be56a2b58872bac8b9439f374401de,@USER that should be kafura,0,0,1,0,0
hau_6b079616e61b18f7656e745355149d10,@USER gaskia ce don bbu kuma wata karya da za'ayi masu 🤣🤣,0,0,0,0,1
hau_81cf0273a378ab8330f7442467b888b9,@USER almajiri votes count in the north… sad reality,1,0,0,0,0
hau_d90edceb0f9c33d4c02ce079b561f2de,ina na ruwanka dashi? ai mahaukaci sai addu’a ##url,0,0,1,0,0
hau_64b51056555b3fbb7319084ae540709a,@USER naga tasono acikin hancin naki💔😂 ##url,0,0,0,0,1
hau_27fad7ee2f8025c017713fe7eb1a9b5d,"rukunan bala,i cikin al,ummah. =shugabanni jahilai. =masu kudi marowata = malamai makwadaita =mabiya wawaye. bin othman",0,0,1,0,0
hau_e9902a250eeebc60078aa96b43e64785,@USER da yanzu dangin ku arna ne,0,0,1,0,0
hau_f5644ff729faee11cc44b06dbf4d35aa,"ce wallahi""@USER : kasan abunka da jahili(arne)""@USER : hahaha.. ybello kana azumi kuwa? “@USER : babanka ne biri""",1,0,1,0,0
hau_8898bfdc9b6fa1f088cbd68aba63dd67,@USER lmaooo...yawo zai kashe ki...karuwa nake nima ai😅😅,0,0,0,0,0
hau_12a27b1318158f818f032ffab2c2e321,larabawa na shan wuya hannun yahudawa mu kuma muna jin pepe a hannun yarbawa 🥺🙏,0,1,1,0,0
hau_c0a9c7ebaef033e6bdb0af697d4c9723,tab tunda naga inyamuri yana tallan dabino daga nasan buhari ya gyara kasar nan sosai,1,1,0,0,0
hau_4f9b412c84d93797241b8eb5d18d6a38,"which animal run this one o 🤭.. nigeria and nigerians , shege and banza 👍 ##url",0,0,0,0,1
hau_8b6a2c13913645eb5cef0d9a357e1eb5,"Yanzu shikenan duk arewa influencer namu sun zama Yan PR 😭😭 Sannan kayi mgn suyi dragging naka,wlh kunji kunya 😏🙄 shame on you guys",0,1,0,0,0
hau_61b08ab4230f3ff402fc26b15a4f5044,"samuel aruwan ...though not a native hausa speaker introduces new hausa idiom ...""yan ta'adda hudu sun kwanta hagu"" amma yan sanda biyu sun kwanta dama"". while ""kwanta dama"" is a well known hausa idiom, ""kwanta hagu... well tried, you did very well.",0,0,0,0,0
hau_5e538145cec3d8f5190089267364aa44,@USER razor baban arna asa wuta,0,0,1,0,0
hau_121a22b31fdfc6a5d698d7f84d95b4a4,🙌🙌“@USER : i am almajiri and i are represent d whole norhten state and my vote is for gmb...@USER _ ##url,1,0,0,0,0
hau_90d2beaacb911d7cb6a521a57fc558c7,"A dokar zanga zanga ta kowace qasa shine idan Yan zanga zanga sukayi jifa ayi amfani da tiyagas ko ruwan zafi Amma a Nigeria da bullet sukayi amfani Kuma a haka wasu jakai Yan PR din jam,iyar Samoa suke ganin anyi dai dai Allah ya wulaqanta ku ya yan asara @USER",1,0,0,0,0
hau_5f732f1114eb50b888ef198208bc264e,a hannun mallami biri ke yin tsiwa. a gaban maguzawa ko kuka yake!! #ranarhausa2020,0,0,0,0,0
hau_4d288c2b0f9af9b9bc15eb85d8f771d1,"@USER you are free to interpret almajiri word the way u understand it, but let me repeatedly tell you, almajiri will continue deciding your future leader for forever",1,0,0,0,0
hau_e08cf6aaf142fdf084dce414022e389a,"kin bar gashi a bude, kin sa matsetsen wando, kin sha matsatsiyar riga, babu mayafin kirki jikin ki, surar jikin ki duk ya bayyana, ki chaku da cikin maza, kina tafiya kina ihu kina rawa, duka da sunan breast cancer awareness, mu dauko al’adun yahudawa da sunan fadakarwa. sad!",0,0,1,1,0
hau_ddb1221716472a743b657552ae1a7fe5,"for now, kaduna is lucky. imagine all the almajiri cases not detected? ganduje has been in power for over 5 years but this is the right time to deport beggars? even if he has perfected the plan, with #covid19 it's only rational to hold on.",1,0,0,0,0
hau_fcccb5c07d201fff884c179e1e835cc6,@USER 'yar shegiya ce kawai mai son a santa don dole!!!,0,0,0,1,0
hau_482993f0a73d7e9b99c75f7a4353ee12,garin marowata kake yabawa ##url,0,0,0,0,1
hau_e517f6dd44b3fe6729058e7059ef1615,"almajiri sayyadi ""@USER : @USER gaskiyane malan naziru""",0,0,0,0,0
hau_39efe2d8a56c33ac51326334d8164464,"eh sabida dan izala zaiyi fata fata da kai da qalallahu qalarrasuul, allah ya ce annabi ya ce ba dabara ba rainin hankali ba tatsuniya. 🤡 ##url",0,0,1,0,0
hau_ac65135527b1e55e3332e0a68b34dd95,"german broadcaster, dw radio hausa service reports on our almajiri literacy project, 7 minutes into this show of saturday 11 august: ##url",0,0,0,0,0
hau_2dfaefcd149a66637e8539d47a24924c,@USER dama dadin kunnen shege nayi🤣🤣🤣🤣,0,0,0,0,1
hau_bfd5023f49785cffc28f6d42b549cae8,@USER almajiri wey get money pass your papa now 🤣🤣🤣 ##url,0,0,0,0,0
hau_d7576725c16604d2940689866d60cce2,"Dama kana Musulmin kirki amma kake sauraron wakokin shi?? Laananne Devido, Haba why ???",0,0,1,0,0
hau_7e81d747b425aaf52008f25a8f0b8799,@USER aci jakai 😂,0,0,0,0,1
hau_c48192db8a9aca493326ac265b52c187,dan shegiya please i want to see ##url i want to see to stupid guy that is threatening ##url kama karuwa ne tunda kaci wawa dan mara wayau ##url,0,0,0,0,1
hau_7171c17cfd8798d30e95575f576fe7e5,@USER yanxu wannan mummuna ce?,0,0,0,0,0
hau_f4805a66b8c6dd034f0865977aa6430a,"day 3 project: power &amp; water (completed), ffencing, drainage, access roads (ongoing) site: sokoto almajiri school, shuni #aprojectaday ##url",0,0,0,0,0
hau_01ed96561755e0cc5e7b31a9796407ee,"Elrufai really raised the bar in Kaduna. Since the current clowns came into power, the city has become a den of crime, dirt and more forms of societal decay. Yan jagaliya kawai",1,0,0,0,0
hau_064b76b5932d112e8467306c05152f13,katon banza bah 😂 ##url,0,0,0,0,1
hau_4c0f3c07daace973e175c7af3306614c,@USER karyar banza kawai🙄 itama bukata takeyi🤣🤣🤣,0,0,0,0,1
hau_644b6efd19365c9b466ed493aadcc081,"@USER karnikan farautar yahudawa sunshigo maganar,bara muja bakinmu muyi shru",0,0,1,0,0
hau_9ee2f2dcd0200a84c87766e9b80e487e,buhari ikon allah. dodo mai razana arna. in sunyi dubu sai sun watse. baban zahrah sa gaban ka inda kake so na aisha jagoran rundunar chanji,0,1,1,0,0
hau_ad83d180192d4983ca6061d22dd751db,"@USER kaidai jaji ne, katan banza maqaryaci, da kana da kunya dakajita yau. baho kawai",0,0,0,0,1
hau_34ffdda461b8c69444ea368a866b01dd,@USER arne banza! who spoiled it?. was it not your stupid party @USER ?,1,0,1,0,0
hau_4c4688a0420febc27eff2c97983adc5c,sannu da kokari @USER an fara yiwa wancan tsageran inyamuri yaren da yafi ganewa🤭 ##url,0,1,0,0,0
hau_0378c31233f0e586660bc05a16951ed7,"morning #upnorth👏🌷 if u call us aboki we call u nyamuri if u call us almajiri we call u e-begger call us bokoharam we call u yahoo boys call us uncivilised we call u political thugs call us paedophiles we call u rapist/ritualist ""sub for sub""so it's better to let peace rain. ##url",1,1,0,0,0
hau_8be155d8737244aae3a8ad6bf1b00fab,"maimakon shagala da mayar da hankali kan koyar da juna sunnah,da tsaftace addininmu gami da qwato juna daga aqidar yahudu da nasara,da kacokan koyar da tsantsar tauheedi ga juna,amma sai mu shagala kan wani abu daban😢ya allah ka ɗora mu kan tafarki madaidaici ba don iyawar mu ba",0,0,1,0,0
hau_510153448d134f8a28c22101507c3b7f,"@USER yar shegiya,haka zata kare",0,0,0,1,0
hau_8a77fc4447d4292ed23d058c5e2c7046,@USER yanxu kenn ko domin bszan manta ba da adamawa basa son atiku domin ya tafi v. p ya barmusu arne a governor wanda basuji dadin shiba,1,0,1,0,0
hau_d366fe9c8cdbce80c421101355f147cb,wata yar tiktok tace akwai qaracin tarbiyya a twitter.😅 wahala no de finish 😅😅😅💔,0,0,0,1,0
hau_24f2cc99210f0d8f87c985a530a28a23,na dade gane zayn dinnan jaki ne,0,0,0,0,1
hau_576e2e38bd23d68991d7d95ee737ad36,ana cin jakai 🤣😂 #barcagranada,0,0,0,0,1
hau_c94c5b8542062387e6e431f87ab39ca4,"@USER gboko kasan tiv ne. ka wuce gaba, in da inyamurai suke. ka gayamin a kasan nan in da ba inyamurai? ran litini, ka shirya ka sanya riga da ke dauke da hoton tallata peter obi, ka je kowace jiha cikin jihohin biyar na inyamurai ka zaga, in ka dawo, sai muyi magana.",0,1,0,0,0
hau_76c607a45323b80a353f6e4cf3dc3ae9,@USER kice kina neman dolo kawai😂,0,0,0,0,0
hau_a4332712494a2467ed83925e93e983cf,"baku hakura ba kenan “@USER : ""kai arne.. @USER : zaka sa mana nudes din a header kenan ""@USER : gotta change ma header""""”",0,0,1,0,0
hau_ee9508d27cd0d4a5e630fd1c5f7dac22,@USER shima kamata yayi yazama mai saukin kai domin kowacce matsala tana tare da solution dinta maganar chanjin kudi bai kamata a saka deadline bah madamar central bank of nigeria zasu ringa bama branches 10% na sabon naira note baba kasan dole talakawa su sha wahala ##url,1,0,0,0,0
hau_bd4c7a57eb61ac2a5e5a54efa17d5bd9,"da kingan namiji marowaci to halal dinsa yakenema, su kuma masu baki kudi a banza idan za ayi bincike yaron shago ne ko kuma yan bani manda in baki...?",0,0,0,0,1
hau_87fdbce86ecc144d1d61f0a96eb6483f,toh aii banzan inyamiri ne yazo in masa tutorial 😄 ##url,0,1,0,0,0
hau_2d4c3fc14a601ea494ae13d47b79ca6e,Jaki dan akuya jahili da ƙiƙi dan Kutumar uba shege ✍️👌,0,0,0,0,1
hau_aa08a20d02aba3e2c8b3108ae82b5450,kana riqe wayar datakai kimanin 70k sannan aqalla kanasamata data datakai 3k monthly qaryakake kace baxaka iya auren mata 2 ba da agola 1 munafikin allah ta’alah wabarakatuhu🤣🤣🤪🤪🤪,0,0,1,1,0
hau_b29441629953c831c5c9f3c64f709e15,@USER rayuwa arna kenang,0,0,1,0,0
hau_6321c495c597f7d6cd09921885d20440,ta tabbata dai ball ba haramun bace tinda gashi saudia sunci arna 💯🤩 ##url,0,0,1,0,0
hau_a3e8feca44e3ba1b02a1c97b683e2b26,@USER to kodai maganar nan da 2 kakeyinta ka samo sakin wawa ne???,0,0,0,0,1
hau_944091bfd48e8a222d0a111ac809c5b0,almajiri wey dey hungry get time to chase and stone you?? btw if the churches had wooden structure you still cry about it.. fucking bigot liar. ##url,0,0,1,0,0
hau_36098577b0c467c1043dbaaad5addce0,Yi mana shiru banza me yin dan malele,0,0,0,0,1
hau_6df8e801bd5ee0b2451d6f711d133232,barbarar turawa inyamurai can relate ##url,0,1,0,0,0
hau_6440edcd6cf12190698bb53d9e64f987,@USER arne ko na maka ne dan banza ne,0,0,1,0,0
hau_997c8a700740166a1288c681d5e2dbc8,"@USER alhamdulillah, allah ka taimakesu akan wadanga""yan ta'adda, allah ka tserar da wadanga yaran. subhanallah gaskiya mulkin siyasa bai zama alheri a garemu ba wannan karon. ya allah kayimuna maganin wannan musibar.",0,0,1,0,0
hau_de8a52c59f1089b1a324bd09b9b47175,"yan kutumar uba shegu ba, ko shinkaface ya ishemu haka, ##url",0,0,0,0,1
hau_d2648dafe461575f0294cfc57f9f6043,@USER shawara agareki kiyi maza maza kimasa reply kafin labarin ya chanja daga almajiri zuwa durling😂,0,0,0,0,0
hau_95e7928726ee3cc794438893168cf46f,@USER insha allagu se ka karya na 29 ka biya 60,0,0,0,0,0
hau_179e2428abeb0569a4b6dcc0f08d085b,en sokoto dolaye ne ai. ##url,0,1,0,0,0
hau_f12654e42d3249f6d84f485416ae6f15,😂😂😂 bayahude ne ai ##url,0,0,1,0,0
hau_e3eda8659ff8964ef0c2757d25ed6032,"@USER kuma ahaka ake cewa @USER daqiqai, despite title 3 damuka dauka akan atm",0,0,0,0,0
hau_d46daddeae8ef401d7238069b184a426,"@USER ipob bandits how inyamiri you beheaded &amp; roasted onye ori onion",0,1,0,0,0
hau_782aae239d5b3fe2c94361058fe88540,"@USER to ko a somalian in kaga mace da abaya yar wancen kungiyarne",0,1,0,0,0
hau_7779f971d0c4b9e44637afe9034d56a2,"@USER wai daman ke ba inyamura bace🤔",0,1,0,0,0
hau_7bafacd606d9dee74e7cee95f8277d4e,"@USER koh da arniya ce",0,0,1,0,0
hau_cbf1bdd94361d60e55c6774b2a69198a,"@USER arne kaga gemunsa😂",0,0,1,0,0
hau_8e2286abdaa2b53c5a43e2a13e11cddd,"@USER and the guy is busy calling him sakarai just imagine this kind none sense abeg",0,0,0,0,1
hau_1fcff27ecdc63dca7852720481daf56d,"wallahi tallahi na tsani atiku abubakar da sen shehu sani allah ya isar mana ga yan tasha",1,0,0,0,0
hau_fbfe2c9ca8b5bb50f1fd4cd295c95a15,"@USER ai hausawa majority gidadawa ne",0,1,0,0,0
hau_3ee675224e453632a70bc5aa85e1e5b1,"kafur kafur dan kafura uban kafurai dangin fir'auna da hamana kawai😡 ##url",0,0,1,0,0
hau_e6565f0c71c959a4afcbe126704721ac,"@USER ahahahah in aka cisu basa fitowa streets kananan arna",0,0,1,0,0
hau_32cd9f85f156cc782036c73d301b7044,"alhamdulillah masha allah! that's so amazing how beautifully this almajiri reciting the holy qur'an. keep the hard and the reward is from allah! ##url",0,0,1,0,0
hau_f6fdc0467f28cd7cc29dcfb5e1c02a15,"Arewa Bata Taba Asara Lokacintaba Kaman Lokacin Buhari, Buhari Mayaudari, Makaryaci, Azzalumi, Allah Ya Isa Tsakanin Mu Da Buhari.",1,0,1,0,0
hau_8adcd01de55c8938ebfa4cc47b28ae53,"@USER su waye kafirai?kai ka kira kanka kafiri beside shin mutanen ku nasan hausawa??bahaushe nawa ke kasarku??ku meyasa daku son mutane ne??gaskiya kuna da matsala sosai...babbar matsalan ku shine rasin son mutane...yan uwanku dake wajen yarbawa ai basu son yarbawa.kaga kukeda matsala",0,1,1,0,0
hau_1a79ee4bb3e0faa37da1e7f8a7632cbb,"Kullin idan na shiga tiktok se naji wani yace MARKE ko kuma DAN MALELE.",0,0,0,0,1
hau_67eefdd7d8890d8ceb24dd48c0cfa8a7,"almajiri in suit on wall street with the goal...with the goal, i got nothing to live for than to make it",0,0,0,0,0
hau_410df80d65ac38817afa911d7137f71b,"ka ga jahili! ##url",0,0,1,0,0
hau_949e8ed94bedc7038481f61265159e38,"@USER dama ai kai dan yakasai ne, kuma yan kauye ne dama 🏃‍♂️🏃‍♂️🏃‍♂️",0,1,0,0,0
hau_4928488e8bfd33f23a287e522dcb5c67,"@USER amma marasa hankali kuma",0,0,0,0,1
hau_0c8230b508035304e25c7a61ffd209db,"@USER bashi kadai bane nature yar duniya ce kawai yarin yar",0,0,0,1,0
hau_554e3aeb18cdfdab6a23b1606c7f56be,"Wlh Abba yayi kokari yapi wasu Gwamnonin Hata gwamananku na Sokoto yapisa Ampani ynz Kai Governor kho sace kudadan nan yayi Duka Wlh Babu yace zakuyi dashi sai gobe gaban Allah Babu wani Dan Dan Siyasa da Baya sata A Nigeria da kasata haka kawai gwara Kataimaki Talakawa",1,0,0,0,0
hau_9bb56d057985e4d7976866cfe00ee167,"stop almajiri system #givenortheducation",1,0,0,0,0
hau_fbed0ef46041bc04c92ccebc0645e765,"@USER yan shaye shaye ne kuma karuwai ne",0,0,0,0,1
hau_5700aaa85ae7d7f0e7bbdcfb5a9eb542,"madugu jagoran talakawa ##url",1,0,0,0,0
hau_09f784b1532954558fef42d3beeebb6f,"some people always look for reasons to criticize the rulers, scholars or even the muslim ummah at large and they do nothing to help themselves or others. ‘yan wahala",0,0,1,0,1
hau_8463d15441d453cceb84c22901d0543d,"@USER yar duniya 😂😂😂",0,0,0,1,0
hau_dc5fa2fb73a7f57642aa5a11b6a695b5,"@USER even the one that stood by you one day she will brag she will proudly tell you that; nida nike tareda kai tun kana matsiyaci tun bakada komai nayi hakuri, and what you gonna do it's not about that my brother choose the best among them interms of everything.",0,0,0,1,0
hau_c64b83bfd10fa74aa0160dc0bd05f6e2,"Dama yan kwankwasiya jahilai ne ko a kano din yan jagaliya,yan daba da karuwai ke yin kwankwaso. @URL",1,1,0,0,0
hau_259492a64614ab1ab022efeeb71c0b05,"@USER ki gane kawai, billahillazi yama ci uwar baho amma abarshi a bahon. 😂",0,0,0,0,1
hau_deb55a1b3dc4bf5e7fe2ea4a26e1349d,"tukunyar da comrd yake storing din ruwa saboda iftar akuya ta fasa ta, duk wata akuya yau seka ta iya cewa sorry 😢..!!",0,0,0,0,1
hau_2aa11f31792d9ee4cc855297a745d50a,"@USER dan iskamana shege yananike ajikin mace",0,0,0,1,0
hau_1214bb577129db3d27fdb659e59d772c,"polygamy is not the problem, the manners in which we are doing it is the problem. you don't have the resources to feed one wife, yet you marry four and quote sunnah. you are in kano but your sons are scattered all over bauchi, jos, gombe, sokoto as almajiri. the self-centered... ##url",0,0,1,1,0
hau_73f5dea6a200ad2dc24b01a27032021e,"alummar zamfara ba gidadawa bane kar a maidamu mushirikai, charming and charmers can't solve zamfara issues of insecurity, islamic scholars to take action. @USER ##url",0,0,1,0,0
hau_b8a53eb886ae3adcd26232698c8d7e16,"Shegu Yan iska hisbah, da za ka ce masu su taimaka a shiga daji a je ai fada da bandits ba su yarda, amma indai a ci zalin talakawa su ne kan gaba, wallahi Addinin Gargajiya a ke ma na a Arewa, ba a ta pa ganin su a partyn ya ran ma su kudi",1,1,1,0,0
hau_4ee82420f42b81d48c0f262ca7078db8,"@USER mahadi dan bariki ne, maganarsa ba ta kama wa. share kawai!",0,0,0,0,1
hau_188c0212f7d4b147aa83c3924df698f0,"@USER ehmn aimu munana semu mutu ku kuma kyawawan ku zauna jiran duniya",0,0,1,0,0
hau_0c1bb12d6080b7311b87f09a70605d62,"@USER wayaga packaging din inyamurai",0,1,0,0,0
hau_19af77f9855f59b7e9f2085e4a115b6a,"@USER allah ya qara maka lapiya your excellency, inyamurai zasu zabeka sama da yanda suka zabeka 2015 inshaallah",1,1,0,0,0
hau_1aff6d35d3f854fad126246b7530c7ff,"Ni tun farko nasan haka zai iya faruwa tunda naga reactions din yan Kwankwassiya a social media. Kowa yasan cewa babu camp mai jahilci da jahilai kamar na masu jar hula. Ba’a mata adalci ba kuma Allah zai saka mata.",1,0,1,0,0
hau_e6107cf7e0126818d05fccaf21e8666a,"dem beat shege dan iska commot from godzilla body. na hot water we suppose use press him body🤣🤣🤣",0,0,0,0,1
hau_dc6684f49011dcd84f87244d8e62f3ae,"Ba Kafiran da suka tsani musulunchi da musulmai, kamar kafiran Nigeria. Reciprocating it is obligatory.",0,0,1,0,0
hau_54d196e3e7c819a7589c3c82ad68c658,"daushe vs ibro. yaya namadi yau kuma harda arne akazo kauye. ibro_____ andamali ##url",0,1,1,0,0
hau_3488b1f32a9efe3870b2be47729b5431,"Gaskia Gandollar bagidaje ne wlh😂",1,0,0,0,1
hau_f3457633d5f1c91f5050e2157891ef3b,"@USER laaa kar ya dame ka fa dan shi'a ne saboda abin da ya faru da zakkayi yake ta kunfar baki😂😂",0,0,1,0,0
hau_4b8934a162a83b8c504bbb919bcd7d01,"may allah help us address poverty, so people can afford a decent education for their children, and also stay away from harmful conservative practices such as sending children to become almajiri. ##url",1,0,1,0,0
hau_57ca880db95ff651d8b949b80a17b51f,"@USER uban babanka ne terrorist shashasha dan kwangilar addini, duk sai allah ya tozarta ku",0,0,1,0,0
hau_3c311f03f0e1509e44149bc77e885390,"Dama wa yake batun ƴan kwalta. Amma su kabilun Nigeria wlh musamman ya kudu wlh sunfi mu ƴan kwalta mazan da matan, su ma'auratan su basu yadda dasu ba",0,1,0,0,0
hau_5a638f63288d3ddf4d16c83c3e14e598,"@USER kina son talaka",1,0,0,0,0
hau_7b00bfec71b129fca8d53cf98895aaf9,"hausa people will call this guy 'qasungumin jahili balidi kuma daqiqi'. how can you give amnesty to someone you employed to protect your people? ##url",0,1,0,0,1
hau_b8933257fa526e3fbb13f5efd331a536,"alaji kasar nan se a hankula dazu inyamuri naga yana saida carbi",0,1,0,0,0
hau_d188e596a8745cc4ced263d055e2ce1c,"why is the almajiri system not in saudi arabia? or qatar? una sabi islam pass the people way get am?",0,0,1,0,0
hau_716bdbbe0254f9dd7e8c153d4cd666aa,"wawa jaki mara tarbiya dan jaka sakarai ##url",0,0,0,0,1
hau_2679da82fcfff955f9a011a8321f09bf,"kahiri da kafiri are the same man, kawai gwarawa ke using 'f' instead of 'h'",0,0,1,0,0
hau_929059a28453e56384ea88b926e4a4fc,"Shi kenan kwankaso kaima ka bi sahun yan abi yarima a sha kida. Yanzu dai manuniya ta nuno mana kai tantarwai!",1,0,0,0,0
hau_6b76eb80e155d09e0d4933bd42d6c12f,"irin wadannan yayan marasa tarbiya tsinannu sune suke zanga zangar rusa sars kai kuma dan arewa har keke goyan bayansu bayan kaine yakamata kanemi security a inda kake! allah waddan naka ya lalace! shame on you ##url",1,1,0,0,1
hau_d0dcd74b916aeda8af23194b8ca69807,"gats be the one i try almajiri in front of my house and e chop my father. e beat me black and blue. no physical scars sef. na ptsd e limme with😭 ##url",0,0,0,0,1
hau_5f3110e3ed655188bcb7be258fce23ab,"Har yanzu ɗan arewa bai san ciwon kansa ba. Har yanzu ɗan arewa yafi ganewa yayi ta rigimar cikin gida yana cin mutuncin dattijai da malamai. Har yanzu dan arewa yafi ganewa yayita yayata shirme da shashanci a media. Ta ina al'umma zata ci gaba a haka?",1,1,0,0,0
hau_0beedba272f01ff0330143693497d42f,"duk mai bayyana tsaraicinta ko tasa kaya mai bayyana siffar jikinta tsinanniya ce.!! duk mai bayyana tsaraicinta ko tasa kaya mai bayyana siffar jikinta tsinanniya ce.!! duk mai bayyana tsaraicinta ko tasa kaya mai bayyana siffar jikinta tsinanniya ce.!! inji annabi saw.✍️",0,0,0,1,0
hau_bf6735ac5c9c37a1a4ce6ed8b6e49a7d,"@USER to kai a wana littafin kaji ance twin zasuyi aure ko a kafirai babu",0,0,1,1,0
hau_e0abca8bf811b4732d6852e3297f2e47,"@USER almajiri / aboki &gt;&gt;&gt;&gt;",0,1,0,0,0
hau_73a319b7d4626d0a4fdf4288a33bdbb1,"@USER wawiya ce ai",0,0,0,0,1
hau_5922e267ddc118dd1600e1c433043c08,"zindiqan banza da wofi yan iska mutanen tasha ##url",0,0,1,0,1
hau_c58b94ea9a5c6627f9acc53ebd568c2a,"Dan Bilki Kwamander ya saka Baba dan Audu a gaba😂😂😂😂 @USER, wane dan gajere mai jakar tsaba? 😂😂😂",0,0,0,0,1
hau_737cb9d45db2ca52962c34c50a2d7cd4,"arnee ai arne ne, koya musulin ta seya koma ruwa,🤣 ##url",0,0,1,0,0
hau_69eec943984ebf6f713eebdf9f31a9ce,"@USER werey dey watch k-drama for office kai karuwa",0,0,0,0,1
hau_e4e3525958c139e9aca9b02b2cf6006f,"Mutanen nan fah duk wani nau'i Na kafurci akwai shi a addinin su Yasin, don gwara arna da sukace yesu da babansa da holy spirit duk Alloline, Amma a addinin nan kowa matsayin sa ya akai a a bauta Masa, Allah karemu ya Kare zuri'armu da Na makotan mu da yan uwanmu, amin.",0,0,1,0,0
hau_51e652ca9dfcf7b29784cd71c944041e,"#allah ya jikan musulman na kasar @USER da wani katon arne dan ta'adda ya iske su har cikin masallacin su dake wurare biyu yayita harbi, har ya kashe akalla mutum 49 banda wa'anda… ##url",0,0,1,0,0
