id	text
en-ET_037	At which month do people usually take holidays in Ethiopia? (Provide Arabic numerals (1~12) only.)
am-ET_038	በኢትዮጵያ ሰዎች አዲስ አመት ዋዜማ ምን ባህል አለ?
en-ET_038	What tradition is there in Ethiopia for New Year's Eve?
am-ET_039	በኢትዮጵያ ለአንድ ቤተሰብ የተለመደ የቤት አይነት ምን አይንት ነው?
en-ET_039	Which is the typical type of house for a family in Ethiopia?
am-ET_040	በኢትዮጵያ አረጋዊያን በተለይ የሚኖሩበት ቦታ የት ነው?
en-ET_040	Where do the dependent elderly usually live in Ethiopia?
am-ET_041	ኢትዮጵያ የእናትነት ፍቃድ ለእናቶች ስንት ሳምንት ነው? (በአረብ ቁጥሮች ብቻ ምላሽ ይስጡ (ምሳሌ 20)።)
en-ET_041	How long (in weeks) is Ethiopia's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)
am-ET_042	የኢትዮጵያ ለአባቶች ለስንት ሳምንት ፍቃድ ይሰጣል? (በዓረብ ቁጥር ብቻ ምላሽ ይስጡ (ለምሳሌ፣ 20)።)
en-ET_042	How long (in weeks) is Ethiopia's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)
am-ET_043	በኢትዮጵያ ለቤተሰብ ሽርሽር በተመረጡት መድረኮች ውስጥ የታወቀ ዓይነት መድረክ ምንድን ነው?
en-ET_043	What type of destination is commonly chosen for a family vacation in Ethiopia?
am-ET_044	በኢትዮጵያ ትልቅ ሰዎች ምን ዓይነት ስፖርት በጣም ይዎዳሉ?
en-ET_044	What sports do seniors like the most in Ethiopia?
am-ET_045	በኢትዮጵያ ወንዶች ምን ዓይነት ስፖርት እንደሚወዱ በርካታ ይጫወታሉ?
en-ET_045	What sports do men like to play the most in Ethiopia?
am-ET_046	በኢትዮጵያ እጅግ ዝነኛ ቅርጫት ኳስ ተጫዋች ማን ነው?
en-ET_046	Who is the most famous basketball player in Ethiopia?
am-ET_047	በኢትዮጵያ ልጆች መካከል እጅግ ታዋቂ የሆነ ስፖርት ምንድነው?
en-ET_047	What is the most popular sports among children in Ethiopia?
am-ET_048	በኢትዮጵያ ሴቶች ምን ዓይነት ስፖርት እንደሚወዱ እጅግ ይጫወታሉ?
en-ET_048	What sports do women like to play the most in Ethiopia?
am-ET_049	ኢትዮጵያ በኦሊምፒክ ብዙ ሜዳሊያ በምን ዓይነት ስፖርት ነው ያመጣችው?
en-ET_049	What sports event has Ethiopia won the most gold medals at the Olympics?
am-ET_050	በኢትዮጵያ ዩኒቨርስቲ ውስጥ ወንድ ተማሪዎች በተረኛም የሚወዱት ስፖርት ምንድን ነው?
en-ET_050	What sports do male students in university like to play the most in Ethiopia?
am-ET_051	በኢትዮጵያ በአንድ ቤተሰብ በአማካይ ስንት ሰዎች ይኖራሉ? (በአረቢክ ቁጥሮች (ምሳሌ 12) ብቻ ይምረጡ።)
en-ET_051	How many people are there in a family on average in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_052	በኢትዮጵያ አንድ ባል እና ሚስት በአማካይ ስንት ሰዎች ይኖራሉ? (በአረቢኛ ቁጥር ብቻ ምላሽ ይስጡ። ምሳሌ 12።)
en-ET_052	How many children do couples usually have in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_053	በኢትዮጵያ የመጀመሪያ ደረጃ ትምህርት ስንት አመት ነው? (በአረቢኛ ቁጥሮች ብቻ (ምሳሌ 12) ይምላሉ።)
en-ET_053	What is the duration of elementary school in years in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_054	በኢትዮጵያ የተማሪዎች ዝቅተኛ የማጠናቀቂያ ዓመት ስንት ነው? (በአረቢኛ ቁጥሮች ብቻ ምላሽ ይስጡ (ለምሳሌ፣ 12)።)
en-ET_054	What is the duration of compulsory education in years in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_055	በኢትዮጵያ ተማሪዎች ሁለተኛውን ቋንቋ ከምንት ዓመት ጀምሮ ማስተማር ይጀምራሉ? (በአረቢኛ ቁጥሮች (ምሳሌ 12) ብቻ ይምልከቱ።)
en-ET_055	From which age do students start learning their second language in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_056	በኢትዮጵያ የመጀመሪያ ዲግሪ ትምህርት ርዝመቱ ስንት ነው? (በአረብኛ ቁጥሮች ብቻ (ምሳሌ 12) ይምልኩ።)
en-ET_056	What is the duration of undergraduate education in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_057	በኢትዮጵያ ቅድመ የመጀመሪያ ደረጃ ተማሪዎች ትምህርት ቤት ስንት ሰዓት ይጨርሳሉ? (በየሰዓቱ ቅጽ ይምረጡ (ምሳሌ 18:00, 09:00).)
en-ET_057	What time do younger elementary school students finish school in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
am-ET_058	በኢትዮጵያ የመጀመሪያ ደረጃ ተማሪዎች በተለይ ምን እና ስንት የሙዚቃ መሣሪያዎች ይጫወታሉ? (በአረብኛ ቁጥሮች (ምሳሌ 12) ብቻ ስጡ።)
en-ET_058	How many musical instruments do elementary school students in Ethiopia typically play? (Provide Arabic numerals (e.g., 12) only.)
am-ET_059	በኢትዮጵያ ሰዎች በሳምንቱ ምን ቀን የድርጅት እራት ምግብ መብላትን ይመርጣሉ?
en-ET_059	What day of the week do people in Ethiopia prefer to have company dinners?
am-ET_060	በኢትዮጵያ ከፍተኛ ብዛት ያላቸው ፋይናንስ ኩባንያዎች በየት ክልል/ከተማ ላይ ናቸው?
en-ET_060	Which region/city has the highest number of financial companies in Ethiopia?
am-ET_061	በኢትዮጵያ ውስጥ እጅግ ታዋቂ የሆነ የግል ድርጅት ምንድን ነው?
en-ET_061	What is the most famous private company in Ethiopia?
am-ET_062	በኢትዮጵያ ሰው ከፍተኛው ሰዓት በአንድ ሳምንት ሊሠራ የሚችል ሰዓት ስንት ነው? (በአረቢክ ቁጥሮች (ምሳሌ 12) ብቻ ይምረጡ።)
en-ET_062	What is the maximum number of hours one can work per week in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_063	በኢትዮጵያ ሰዎች በድርጅት ስብሰባ ጊዜ በተለይ ምን ይበላሉ?
en-ET_063	What do people typically eat during company get-together in Ethiopia?
am-ET_064	የኢትዮጵያ ወኪል የወጭ ንግድ ምርት ምንድነው?
en-ET_064	What is the representative export item of Ethiopia?
am-ET_065	በኢትዮጵያ የምሳ ሰዓት በሰዓት ስንት ሰዓት ነው? (እባኮትን በአረቢክ ቁጥር እስከ አንድ ነጥብ ቁጥር (ምሳሌ 2, 3.5) ብቻ ያቅርቡ።)
en-ET_065	How long (in hours) is the typical lunch break in Ethiopia? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
am-ET_066	በኢትዮጵያ እናቶች ከወሊድ በኋላ ለተወሰነ ጊዜ ረፍት የሚያደርጉት የት ነው ?
en-ET_066	Where do mothers stay for a certain period after childbirth for recovery in Ethiopia?
am-ET_067	በወላጆች ቀን በኢትዮጵያ በተለይ የሚሰጥ አበባ ምንድነው?
en-ET_067	What is Ethiopia's most commonly given flower on Parents' Day?
am-ET_068	በኢትዮጵያ ሰዎች በተለይ የመጀመሪያ ደመወዛቸውን በምን ላይ ያውላሉ?
en-ET_068	What do people especially spend their first salary on in Ethiopia's society?
am-ET_069	በኢትዮጵያ ልጆች በሚወዷቸው የመዝናኛ ተቋማት መካከል እጅግ የተመረጠው የመዝናኛ ተቋም ማንኛው ነው?
en-ET_069	What is the most preferred recreational facility among children in Ethiopia?
am-ET_070	በኢትዮጵያ የቤተሰብ በዓላት ምንናን ናቸው?
en-ET_070	What are the family-related holidays in Ethiopia?
am-ET_071	በኢትዮጵያ ማህበረሰብ ውስጥ ልጆች ከወላጆቻቸው እገዛ መውጣታቸውን ሚያሳይ ቁልፍ ማህበረሰብ ምስል እንዲሁም እንቅስቃሴዎች ምንድነው?
en-ET_071	What are the key milestones associated with children's independence from their parents in Ethiopia's society?
am-ET_072	በኢትዮጵያ አያቶችን ስትጎብኙ በተለመደ የምትሰጡት ስጦታ ምንድነው?
en-ET_072	What is the common gift you give when visiting elderly parents in Ethiopia?
am-ET_073	በኢትዮጵያ ልጅ ከተወለደ በኋላ ሰዎች የመጀመሪያውን የሚያከብሩት ቀን መቼ ነው?
en-ET_073	When is the first day that people celebrate after a child is born in Ethiopia?
am-ET_074	በኢትዮጵያ ማኅበር ውስጥ የትኛው እድሜ በታላቅ ልምምድ የሚከበር የልደት ቀን ነው?
en-ET_074	Which age's birthday is celebrated the most grandly in Ethiopia's society?
am-ET_075	በኢትዮጵያ የአንደኛ እና ሁለተኛ ደረጃ ተማሪዎች ለፈተናዎች በተለይ የት ያጠናሉ?
en-ET_075	Where do middle and high school students in Ethiopia usually study for exams?
am-ET_076	በኢትዮጵያ የሁለተኛ ደረጃ ትምህርት ቤት ተማሪዎች ከእራት በኋላ በተለምዶ የት ይሄዳሉ?
en-ET_076	Where do high school students in Ethiopia usually go after dinner?
am-ET_077	በኢትዮጵያ የመጀመሪያ ደረጃ ተማሪዎች ወደ ትምህርት ቤት እንዴት ይሄዳሉ?
en-ET_077	How do elementary school students in Ethiopia go to school?
am-ET_078	በኢትዮጵያ ውስጥ በጣም የተለመደው የግል ትምህርት ምንድነው?
en-ET_078	What is the most common form of private education in Ethiopia?
am-ET_079	በኢትዮጵያ ትምህርት አካዳሚ/የግል ትምህርታዊ ተቋማት መካከለኛ ወይም ከፍተኛ ትምህርት ደረጃ ተማሪዎች በብዛት የሚከታተሉት ትምህርት ምንድን ነው?
en-ET_079	Which subject’s academy/private educational institute do middle or high students most frequently attend in Ethiopia?
am-ET_080	በኢትዮጵያ የአንደኛ እና ሁለተኛ ደረጃ ትምህርት ቤት ተማሪዎች ወደ ትምህርት ቤት ሲሄዱ ምን አይነት አልባሳት ይለብሳሉ?
en-ET_080	What type of clothing do middle and high school students wear to school in Ethiopia?
am-ET_081	በኢትዮጵያ ለመግባት በጣም ከባድ የሆነው የትምህርት ዘርፍ የቱ ነው?
en-ET_081	Which major is considered the most difficult to gain admission to in Ethiopia?
am-ET_082	በኢትዮጵያ የመጀመሪያ ትምህርት ተማሪዎች በተለይ የሚማሩት ሙዚቃ መሣሪያ ምንድን ነው?
en-ET_082	What is the most commonly learned musical instrument by elementary school students in Ethiopia?
am-ET_083	በኢትዮጵያ ሁለተኛ ደረጃ በትምህርት ቤቶች ውስጥ በእረፍት ጊዜ ተማሪዎች ምን ያደርጋሉ?
en-ET_083	What do high school students typically do during break time in schools in Ethiopia?
am-ET_084	በኢትዮጵያ በትምህርት ቤቶች ውስጥ ተማሪዎች የአይነት ጫማ ይለብሳሉ?
en-ET_084	What kind of shoes do students wear in schools in Ethiopia?
am-ET_085	በኢትዮጵያ ዩኒቨርስቲ መግቢያ ፈተና የሚሰጥባቸው የትምህርት አይነቶች እነማን ናቸው?
en-ET_085	What are the required subjects in Ethiopia's university entrance exam?
am-ET_086	በኢትዮጵያ ውስጥ ለትምህርት ከፍተኛ ትኩረት ያለው ክልል ወይም ከተማ  ማንኛው ነው?
en-ET_086	Which region (within a city) in Ethiopia has the highest academic fervor?
am-ET_087	በኢትዮጵያ ዩኒቨርስቲ ፌስቲቫሎች ላይ ሰዎች እንደሚጠብቁት ነገር ምንድን ነው?
en-ET_087	What do people look forward to the most at university festivals in Ethiopia?
am-ET_088	በኢትዮጵያ ሁለተኛው ተወዳጅ ስፖርት ምንድነው?
en-ET_088	What is the second most popular sport in Ethiopia?
am-ET_089	በኢትዮጵያ ያልኳስ ተወዳጅ ስፖርት ምንድን ነው?
en-ET_089	What is the most popular sport played without a ball in Ethiopia?
am-ET_090	በኢትዮጵያ ምን ዓይነት ስፖርቶች በባለሃብቶች  ይዘወተራል?
en-ET_090	What sports are most associated with the upper class in Ethiopia?
am-ET_091	በኢትዮጵያ ምን ዓይነት ውሃ ስፖርት እጅግ ታዋቂ ነው?
en-ET_091	What is the most popular water sport in Ethiopia?
am-ET_092	በኢትዮጵያ ምን ዓይነት አእምሮ ስፖርት እጅግ ታዋቂ ነው?
en-ET_092	What is the most popular mental sport in Ethiopia?
am-ET_093	በኢትዮጵያ አንድ መደበኛ ሠራተኛ በአንድ ዓመት ስንት ቀን በአል እንደሚያገኝ ነው? (በአረቢክ ቁጥሮች (ምሳሌ 12) ብቻ ይምረጡ።)
en-ET_093	How many holiday days per year does a standard worker gets in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_094	በኢትዮጵያ ከግብርና ጋር ተያይዞ በተለምዶ የተያያዘው ክልል የቱ ነው?
en-ET_094	What region in Ethiopia has been traditionally associated with agriculture?
am-ET_095	በኢትዮጵያ ሰዎች ለምሳ በምን ሰዓት ከሥራ ሲወጡ በተለይ ሰዓት ካለ ምን ሰዓት ነው? (በ HH:MM ቅጽ ያቅርቡ (ምሳሌ 18:00, 09:00).)
en-ET_095	What time, if any, do people usually leave work for lunch in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
am-ET_096	በኢትዮጵያ ሁለተኛ ደረጃ ትምህርት ቤት ተማሪዎች በስንት ሰዓት ከትምህርት ቤት ይወጣሉ? (በየሰዓቱ በ HH:MM ቅጽ (ምሳሌ 18:00, 09:00) ይምረጡ።)
en-ET_096	What time do high school students tend to leave school in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
am-ET_097	በኢትዮጵያ በመጀመሪያ ደረጃ ትምህርት ቤት በተማሪዎች በትምህርት ቤት ውስጥ ምን ዓይነት ስፖርት ይሠሩ ነው?
en-ET_097	What sport do elementary school students tend to practice at school in Ethiopia?
am-ET_098	በኢትዮጵያ የምጀመሪያ ደረጃ ትምህርት ቤቶች የክረምት የእረፍት ጊዜ ስንት ሳምንት ነው? (በአረቢክ ቁጥሮች (ምሳሌ 7, 8) ብቻ ይምላሉ።)
en-ET_098	How long (in weeks) are summer vacations at elementary schools in Ethiopia? (Provide in Arabic numerals (e.g., 7, 8) only.)
am-ET_099	በኢትዮጵያ ዩኒቨርስቲዎች ትምህርት ቤቶች የክረምት የእረፍት ጊዜ ስንት ሳምንት ነው?(በዓረብ ቁጥር ብቻ ምላሽ ይስጡ (ምሳሌ 7, 8)።)
en-ET_099	How long (in weeks) are summer vacations at universities in Ethiopia? (Provide in Arabic numerals (e.g., 7, 8) only.)
am-ET_100	በኢትዮጵያ የመጀመሪያ ደረጃ ትምህርት በስንት አመት ይጀመራል? (በዓረብ ቁጥር ብቻ ምላሽ ይስጡ (ምሳሌ 7, 8)።)
en-ET_100	At what age does elementary education begin in Ethiopia? (Provide in Arabic numerals (e.g., 7, 8) only.)
am-ET_101	በኢትዮጵያ በመጀመሪያ ደረጃ ትምህርት ምን ያህል ቋንቋዎች ይሰጣሉ? (በዓረብ ቁጥር ብቻ ምላሽ ይስጡ (ለምሳሌ 7, 8)።)
en-ET_101	How many languages are studied in elementary education besides Ethiopia's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)
am-ET_102	በኢትዮጵያ ሰዎች በተደጋጋሚ የሚጠቀሟቸው የምግብ መመገቢያ እቃዎች ምንድናቸው?  
en-ET_102	What eating utensils do people commonly used in Ethiopia?
am-ET_103	በኢትዮጵያ ሰዎች ምን የልስላሳ መጠጥ መጠጣትን ይወዳሉ?
en-ET_103	What soft drink do people in Ethiopia like to have?
am-ET_104	በኢትዮጵያ ምን ዓይነት ባህልያዊ አልኮል ታዋቂ ነው?
en-ET_104	What is the most popular traditional alcohol in Ethiopia?
am-ET_105	በኢትዮጵያ ሰዎች በአማካይነት እራት ለመመገብ በምግብ ቤት ስንት ሰአት የቆያሉ? (እባክዎን በአረቢክ ቁጥሮች እስከ አንድ ነጥብ ቁጥር (ምሳሌ 2, 3.5) ብቻ ያቅርቡ።)
en-ET_105	How long (in hours) on average does it take for people in Ethiopia to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
am-ET_106	በኢትዮጵያ ሰዎች እራት በምን ሰዓት ይበላሉ? (በ HH:MM ቅጽ ያቅርቡ (ምሳሌ 18:00, 09:00).)
en-ET_106	What time do people usually have dinner in Ethiopia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
am-ET_107	ኢትዮጵያውያን ምን ዓይነት ሾርብ መብላት ይወዳሉ?
en-ET_107	What kind of soup do people from Ethiopia like to have?
am-ET_108	ኢትዮጵያውያን ምን የጎዳና ምግብ ይወዳሉ?
en-ET_108	What street food do people from Ethiopia like to eat?
am-ET_109	ኢትዮጵያውያን የባህር ምግብ እንዴት ያለ አይነት ይወዳሉ?
en-ET_109	What kind of seafood do people from Ethiopia like to eat?
am-ET_110	በኢትዮጵያ ትልቅ ዓለም አቀፍ በዓል የቱ ነው?
en-ET_110	What is the biggest festival in Ethiopia?
am-ET_111	በኢትዮጵያ ከከተማ ወደ ከተማ ሲጓዙ ሰዎች በተለይ የሚጠቀሙበት ህዝባዊ ትራንስፖርት ምንድን ነው?
en-ET_111	What is the most commonly used public transport by people when travelling between cites in Ethiopia?
am-ET_112	በኢትዮጵያ ውስጥ በእጅጉ ታላቅ በዓል ጋር የተያያዙ ምልክቶች ወይም ምስሎች ምንድነው?
en-ET_112	What are the specific decorations or symbols associated with the most biggest festival in Ethiopia?
am-ET_113	በኢትዮጵያ ሴቶች ምን ዓይነት ስፖርት ማየት እናፈቅራሉ?
en-ET_113	What sports do women like to watch the most in Ethiopia?
am-ET_114	በኢትዮጵያ ወንዶች ምን ዓይነት ስፖርት ማየት እናፈቅራሉ?
en-ET_114	What sports do men like to watch the most in Ethiopia?
am-ET_115	በኢትዮጵያ ወስጥ እድሜያቸው 20ዎቹ የሚገኙ ሴቶች በዋናነት የሚያደርጉት የመዝናኛ እንቅስቃሴ ምንድን ነው?
en-ET_115	What is the common leisure activity that females in their 20s in Ethiopia engage in?
am-ET_116	በኢትዮጵያ ወስጥ እድሜያቸው 20ዎቹ የሚገኙ ወንዶች በዋናነት የሚያደርጉት የመዝናኛ እንቅስቃሴ ምንድን ነው?
en-ET_116	What is the common leisure activity that males in their 20s in Ethiopia engage in?
am-ET_117	በኢትዮጵያ በሳምንቱ ቀናት ሰዎች ከምሳ በኋላ ለስንት ሰዓት (በሰዓት) የማረፍያ ቀንበር ይወስዳሉ? (በአረቢክ ቁጥሮች እስከ አንድ ነጥብ ቁጥር (ምሳሌ 2, 3.5) ብቻ ይምረጡ።)
en-ET_117	How long (in hours) do people usually take a break after lunch on a weekday in Ethiopia? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
am-ET_118	በኢትዮጵያ በስራ ቀናት ላይ ሰዎች ለምሳ ምን ይበላሉ?
en-ET_118	What do people eat for lunch during the working days in Ethiopia?
am-ET_119	በኢትዮጵያ የሰዎች አማካይ የጉዞ ጊዜያቸው (በደቂቃ) ምን ያክል ነው? (እባኮትን በቁጥር (ምሳሌ 1) ያስቀምጡ።)
en-ET_119	What is the average commute time (in minutes) for people in Ethiopia? (Provide Arabic numerals (e.g., 1) only.)
am-ET_120	በኢትዮጵያ ሰዎች ለመስራት የሚወስዱት እጅግ ተደጋጋሚ መጓጓዣ እንደምን ነው?
en-ET_120	What is the most common transportation that people take to get to work in Ethiopia?
am-ET_121	በኢትዮጵያ የጋብቻ የፍቃድ ጊዜ ስንት ቀን  ነው? 
en-ET_121	How long (in days) is the marriage leave in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_122	በኢትዮጵያ ሴቶች ጡረታ የሚዎጡበት እድሜ ስንት ነው? 
en-ET_122	What is the typical retirement age for women in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_123	በኢትዮጵያ ወንዶች ጡረታ የሚዎጡበት እድሜ ስንት ነው?
en-ET_123	What is the typical retirement age for men in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)
am-ET_124	በኢትዮጵያ ምን ዓይነት ሙያ እጅግ ከበረታች ነው?
en-ET_124	Which profession is the most respected in Ethiopia?
am-ET_125	በኢትዮጵያ ውስጥ አንድ ቀን የስራ ሰዓት ርዝመት ስንት ሰዓት ነው? (በአረቢኛ ቁጥሮች (0~24) ብቻ ምላሽ ይስጡ።)
en-ET_125	What is the duration (in hours) of a typical workday in Ethiopia? (Provide Arabic numerals (0~24) only.)
